"","Fecha","sitio","Longitud","Latitud","PM10","Tabla$sitio"
"244",2023-01-04 03:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"245",2023-01-04 04:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"246",2023-01-04 05:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"247",2023-01-04 06:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"248",2023-01-04 07:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,15.459,"Belfast Stockman's Lane"
"249",2023-01-04 08:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"250",2023-01-04 09:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"251",2023-01-04 10:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"252",2023-01-04 11:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"253",2023-01-04 12:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"254",2023-01-04 13:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"255",2023-01-04 14:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"256",2023-01-04 15:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"257",2023-01-04 16:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"258",2023-01-04 17:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
